name,small mol,pocket,energy,constant
af-6578-heme,1,0,,
af-6578-heme,2,2,-8.52,
af-6578-heme,3,1,-6.28,25.4
af-6578-heme,4,17,51.97,25.4
af-6578-heme,5,7,-7.95,71.17
af-6578-heme,6,1,-7.72,2.19
af-6578-heme,7,8,-5.12,175.45
af-6578-heme,8,7,-8.03,175.45
af-6578-heme,9,7,-8.17,42.74
af-6578-heme,10,3,-6.43,19.27
af-6578-heme,11,3,-6.51,16.84
af-6578-heme,12,31,-5.28,134.68
af-6578-heme,13,3,-7.57,13.9
af-6578-heme,14,2,-7.03,7.02
af-6578-heme,15,2,-5.62,7.02
af-6578-heme,16,0,-5.62,7.02
af-6578-heme,17,4,1.26,7.02
af-6578-heme,18,9,-2.88,9.18
af-6578-heme,19,12,-3.02,6.07
af-6578-heme,20,5,-7.37,603.05
af-6578-heme,21,10,-6.55,15.75
af-6578-heme,22,0,-7.47,3.33
af-6578-heme,23,2,-8.02,1.79
af-6578-heme,24,4,-3.59,1.79
af-6578-heme,25,0,-3.59,1.79
af-6578-heme,26,3,-5.68,1.79
af-6578-heme,27,3,-7.51,3.65
af-6578-heme,28,28,-4.44,553.69
af-6578-heme,29,9,-6.96,40.59
af-6578-heme,30,4,-9.02,44.84
af-6578-heme,31,0,-7.84,1.78
af-6578-heme,32,8,-5.59,491.44
af-6578-heme,33,0,-5.59,491.44
af-6578-heme,34,19,-7.34,4.19
af-6578-heme,35,0,-7.34,4.19
af-6578-heme,36,5,-7.99,148.73
af-6578-heme,37,9,-6.23,27.14
af-6578-heme,38,13,-6.55,15.91
af-6578-heme,39,0,-6.55,15.91
af-6578-heme,40,24,-6.2,28.6
af-6578-heme,41,10,-3.16,28.6
af-6578-heme,42,2,-3.28,3.92
af-6578-heme,43,0,-3.28,3.92
af-6578-heme,44,15,-6.58,3.92
af-6578-heme,45,7,-4.19,3.92
af-6578-heme,46,4,-7.68,41.71
af-6578-heme,47,10,-0.94,41.71
af-6578-heme,48,4,-7.45,14.78
af-6578-heme,49,6,-2.42,14.78
af-6578-heme,50,0,-2.42,14.78
af-6578-heme,51,0,-2.42,14.78
af-6578-heme,52,0,-2.42,14.78
af-6578-heme,53,13,-5.12,14.78
af-6578-heme,54,4,-6.75,224.79
af-6578-heme,55,2,-7.09,6.33
af-6578-heme,56,17,-5.85,51.65
af-6578-heme,57,1,-6.63,13.78
af-6578-heme,58,1,-6.89,13.78
af-6578-heme,59,6,-6.69,596.38
af-6578-heme,60,0,-6.69,596.38
af-6578-heme,61,0,-6.69,596.38
af-6578-heme,62,6,-4.21,821.37
af-6578-heme,63,0,-4.21,821.37
af-6578-heme,64,3,-3.89,821.37
af-6578-heme,65,5,-8.32,15.51
af-6578-heme,66,6,-8.66,55.86
af-6578-heme,67,4,5.03,55.86
af-6578-heme,68,4,-5.63,74.77
af-6578-heme,69,3,-8.08,1.51
af-6578-heme,70,6,-9.47,420.56
af-6578-heme,71,6,-5.06,543.5
af-6578-heme,72,3,-8.13,15.28
af-6578-heme,73,5,-7.71,35.62
af-6578-heme,74,0,-7.71,35.62
af-6578-heme,75,3,-6.66,1.5
af-6578-heme,76,2,-5.14,1.5
af-6578-heme,77,0,-5.44,102.13
af-6578-heme,78,5,-7.27,177.73
af-6578-heme,79,6,-7.51,177.73
af-6578-heme,80,0,-5.25,142.33
af-6578-heme,81,2,-6.86,142.33
af-6578-heme,82,1,-7.17,5.53
af-6578-heme,83,0,-6.92,8.42
af-6578-heme,84,15,-7.26,8.42
af-6578-heme,85,3,-8.48,998.6
af-6578-heme,86,0,-6.06,36.11
